Ticker|Name|Exchange|Country
XME|SPDR S&P; Metals and Mining ETF|PCX|USA
IQDE|FlexShares Intl Qual Div Defensv ETF|PCX|USA
ELD|WisdomTree Emerging Markets Lcl Dbt ETF|PCX|USA
AT077978.HM|KATHREIN CORPOR.BD (R) A|HAM|Germany
SXRJ.F|ISH EMU SC EUR-ACC|FRA|Germany
SXRV.DU|ISHS NASDAQ USD-AC|DUS|Germany
C007.F|COMS MDAX TR IC|FRA|Germany
138910.KS|KODEX Copper Futures(H)|KSC|Korea
FDD.MX|FT DJ STX EURO|MEX|Mexico
HEFV|iShares Ccy Hdgd MSCI EAFE Mnmm Vltl|BTS|Thailand
X58548.TI|EUR/TRY/SG ISSUER18|TLO|Italy
CSJP.MI|ISHS MSCI JP USD-AC|MIL|Italy
C024.SG|COMS FTSE CHA50 IC|STU|Germany
HHHH-TEST||ASE|USA
PSCF|PowerShares S&P; SmallCap Financials ETF|NGM|Sweden
ETLN.DE|ETFS WNA GL.N.EN.GO UC.DZ|GER|Germany
XSL2.L|db x-trackers - S&P; 500 2x Leveraged Daily UCITS ETF|LSE|UK
HYD.A||ASE|USA
USPY.SG|GO ISE CYBER G-CT|STU|Germany
BUYB.MI|PowerShares Global Buyback Achievers ETF|MIL|Italy
XS7R.MI|DBXT SE600 BK 1C|MIL|Italy
ZPDE.DE|SPDR® S&P; US Energy Select Sector ETF|GER|Germany
CSIO_TTT20.ST|BASKET/CSI 15|STO|Sweden
DBX5.BE|DBXT MSCI TAIW 1C|BER|Germany
DBX8.SG|DBXT MSCI KOREA 1C|STU|Germany
EUNT.DE|iShares III Public Limited Company - iShares Euro Corporate Bond 1-5yr UCITS ETF|GER|Germany
C012.HM|COMS S&P; 500 IC|HAM|Germany
CBU7.AS|ISHS USD TRE USD-AC|AMS|Netherlands
EMLA.SW|SPDR® MSCI EM Latin America ETF|EBS|Austria
STRIKT-SE-UTDMOM.|||
XLYS.L|Source Markets plc - Source Consumer Discretionary S&P; US Select Sector UCITS ETF|LSE|UK
34IF.L|ZEBRA/INVESTEC20ELN|LSE|UK
LYYW.MU|L UC ETF E600 TECH|MUN|Germany
SSG.A||ASE|USA
PXLG|PowerShares Russell Top 200 Pure Gr ETF|PCX|USA
XSMI.MI|DBXT SMI 1D|MIL|Italy
NBF_29AEH_A781.ST|SX5E/NORDEA 18|STO|Sweden
HECO.A||ASE|USA
KSMKM-84.TA|MAKAM/KSM SAL S84|TLV|Israel
LYM9.HM|L UC ETF N EN D EUR|HAM|Germany
CH5.MI|AM EU HEALTH UC ETF|MIL|Italy
18313599.SW|ZKB SILVERETF AAEUR|EBS|Austria
6PSG.F|POWSHS GLO ENER EUR|FRA|Germany
KSM25-9.TA|TA25/KSM SAL S9|TLV|Israel
P500.SG|SOUR S&P; 500 G-CT|STU|Germany
XMK9.DU|DBXT MSCI JAP 4C|DUS|Germany
PTM|UBS ETRACS CMCI Lng Platinum Tot Ret ETN|PCX|USA
IUSF.DE|iShares II Public Limited Company - iShares MSCI USA Islamic UCITS ETF|GER|Germany
IQQL.DU|ISHS LIS PRI E G-CT|DUS|Germany
CHLC|Market Vectors ETF Trust - Market Vectors Renminbi Bond ETF|PCX|USA
CBND|SPDR Barclays Issuer Scored Corp Bd ETF|PCX|USA
MHNOSCK10.MX|BK AM 40 10|MEX|Mexico
CT5.MI|AM EUR TELEC UC ETF|MIL|Italy
GX0B.BE|GLBL X MSCI AR|BER|Germany
DBXA.DE|db x-trackers - MSCI Europe Index UCITS ETF (DR)|GER|Germany
3SGO.L|BOOST ISSUER PUBLIC LIMITED COM|LSE|UK
JPNH.MI|Lyxor ETF Japan (TOPIX) Dly Hdg DEUR A/I|MIL|Italy
O073.L|ISHARES PLC ISHARES DOW JONES-A|LSE|UK
226490.KS|KODEX KOSPI|KSC|Korea
KCNORD5JSHB.ST|BASKET/SHB 15|STO|Sweden
AXJV|iShares MSCI Asia ex Japan Minimum Vol|PCX|USA
ISVA.BE|ISHS MSCI JAP |BER|Germany
EUDG|WisdomTree Europe Quality Div Gr ETF|PCX|USA
XS7W.F|CFSDBX INC EUR-1D-|FRA|Germany
MF13.PA|Lyxor ETF MTS 1-3Y France Gov Bd DR C ?|PSX|USA
SMH.MX|MRKT VCTR SEMICONDR|MEX|Mexico
DBXW.DU|DBXT MSCI WORLD 1C|DUS|Germany
CSBGU3.SW|ISHS USD TRE USD-AC|EBS|Austria
DLN.MX|WisdomTree Trust - WisdomTree LargeCap Dividend Fund|MEX|Mexico
HRMT-72.TA|EMMTS/HAREL SAL S72|TLV|Israel
22386164.IR|||
^STHS|PIMCO Short-Term High Yield Cor|NIM|
EURL.L|SPDR® FTSE EPRA Europe ex UK Rel Est ETF|LSE|UK
FDTS.A||ASE|USA
EMKT.MI|L MS E M U ETF C EU|MIL|Italy
EXV4.BE|ISHSTE600HCUC|BER|Germany
149130.KS|KB-Bookook REIT|KSC|Korea
LYLEM.SW|L MS E M U ETF C US|EBS|Austria
RDIV|Oppenheimer Ultra Dividend Revenue ETF|PCX|USA
C073.DE|ComStage - STOXX Europe 600 Personal & Household Goods NR UCITS ETF|GER|Germany
K-MXME23.TA|MXME/KSM SAL S23|TLV|Israel
SSOB.L|ETFS COMMODITY SECURITIES LIMIT|LSE|UK
XKO.PA|DBXT MSCI KOREA 1C|PAR|France
CSNKY.MI|ISHS NIK 225 JPY-AC|MIL|Italy
AEXT.PA|SPDR® AEX ETF|PAR|France
12980644.DU|ISHSTE600FS(DE)|DUS|Germany
^INZPRLP|SPDR EURO STOXX Low Volatility |NIM|
GPXZQ7.TI|EUR/TRY/GSI 15|TLO|Italy
200040.KS|KODEX SYNTH-US Financials|KSC|Korea
XS6R.MI|db x-trackers - Stoxx Europe 600 Utilities UCITS ETF|MIL|Italy
77YU.L|JSUYANGHE/HSBC WT20|LSE|UK
G2XJ.SG|MV JNR GLD USD-A-AC|STU|Germany
XRU2.MI|DBX RUSSELL 2000 1C|MIL|Italy
VXX.A||ASE|USA
SSGM.HM|SPDR S&P; BRIC 40|HAM|Germany
FGD|First Trust Dow Jones Global Sel Div ETF|PCX|USA
1650884.F|7 CA FUND II REG-S|FRA|Germany
SGI_GTM_1521.ST|BASKET/SG ISSUER 18|STO|Sweden
63YB.L|YSCL/HSBC WT21|LSE|UK
DXSQ.F|DBX IEU 1C|FRA|Germany
ETLV.DU|GO S-NET GLB A G-CT|DUS|Germany
DBXI.SG|DBXT FTSE MIB 1D|STU|Germany
IUS6.DE|iShares III Public Limited Company - iShares Euro Covered Bond UCITS ETF|GER|Germany
QDYN.A||ASE|USA
^INZPRBE|SPDR MSCI EM Beyond BRIC UCITS |NIM|
P44A.BE|PWRSHS DB AGRICLTR|BER|Germany
LYQ8.DE|L UC ETF R EU D EUR|GER|Germany
LYQ1.SG|L U ETF ALL MAT INV|STU|Germany
YDGA.AX|DIGGA AUST MINING FUND EI|ASX|Australia
NUKE.AS|GO GLB NUC ENG USD |AMS|Netherlands
94BG.L|SAUDI/HSBC BANK 17|LSE|UK
BRZS|Direxion Daily Brazil Bear 3X S|PCX|USA
O077.L|ISHARES PLC ISHARES EB.REXX GOV|LSE|UK
ZUD.TO|BMO US Dividend Hedged to CAD ETF|TOR|Canada
X013.SW|COMS M N AMER IC|EBS|Austria
EUNY.HM|ISHS EM MKS DI G-CT|HAM|Germany
HNY-A.TO|HORIZONS NATURAL GAS YIELD ETF |TOR|Canada
QMEX|SPDR MSCI Mexico Quality Mix ETF|PCX|USA
ISWD.L|iShares II Public Limited Company - iShares MSCI World Islamic UCITS ETF|LSE|UK
DBU|WisdomTree Global ex-US Utilities ETF|PCX|USA
LYPA.F|MUL LY W CONDIS CC|FRA|Germany
AAA13.MI|Lyxor ETF EuroMTS HRMcrWtGvtBd1-3Y DR|MIL|Italy
119061.L|OMX/BARCLAYS 14|LSE|UK
DBXV.HM|DBX RUSSIA CAP 1C|HAM|Germany
FV|First Trust Dorsey Wright Focus 5 ETF|NGM|Sweden
DX2E.DU|DBX GLBL INFRA 1C|DUS|Germany
HTWD.L|HSBC MSCI Taiwan ETF|ISE|UK
RU2K.PA|Lyxor ETF Russell 2000 C-USD|PAR|France
SMRP.L|Amundi ETF GlbEq MltSmtAllcScntBeta£ A/I|LSE|UK
FRB_NABORS_N.ST|4 NORDEA 20|STO|Sweden
45RF.L|NIBR/HSBC BANK 17|LSE|UK
