Ticker|Name|Exchange|Country
^NQUSB3767LMCADT|NQ US  Psnl Products Large Mid |NIM|USA
^NQUSM0570T|NQ US Md Cap Oil Eqpt, Svcs & D|NIM|USA
^NQCI2HSMTR|NASDAQ Commodity 2nd Hold Soybe|NIM|USA
WITWN2730.FGI|FTSE TWN - ELECTRON|FGI|UK
^NQKRJPYT|NASDAQ Korea JPY TR Index|NIM|USA
^NQIN0001LMAUDN|NASDAQ India Oil & Gas Large Mi|NIM|USA
^NQGB2300GBPN|NASDAQ UK Constr & Matls GBP NT|NIM|USA
^NQHK6000GBPN|NASDAQ Hong Kong Telecom GBP NT|NIM|USA
^NQEMASIA5700LMEUR|NASDAQ EM Asia Travel & Leisure|NIM|USA
^GVZ|CBOE Gold Volatitity Index|WCB|USA
WIXUKS2710.L|FTSE XUK - AEROSPAC|FSI|UK
WDQD.DE|VSTOXX 180D|GER|Germany
^NQUSL5757|NQ US Lg Cap Restaurants & Bars|NIM|USA
11543382.SG|MVECCHILE PRICEIUSD|STU|Germany
^NQUSB2753CAD|NQ US Bnchmk Comml Vehicles & T|NIM|USA
321C.DE|INAV ISH.ASIA HIG.YLD.DL|GER|Germany
^NQG8300LM|NASDAQ Global Banks Large Mid C|NIM|USA
^NQUSS5375N|NQ US Sm Cap Home Improvement R|NIM|USA
^SP600-20202010|S&P; 600 - Human Resource & Empl|SNP|USA
^CMCIEMPI|UBS Bloomberg CMCI Energy and M|WCB|USA
^NQEM0001CADN|NASDAQ Emerging Oil & Gas CAD N|NIM|USA
^NQEM3000LMAUDN|NASDAQ EM Cnsmr Goods Lg Md Cap|NIM|USA
WORLDS3760.L|FTSE WLD - PERSGOOD|FSI|UK
^DJUBHWT|Dow Jones-UBS Commodity Index S|DJI|USA
SBOXSERB.SG|S-BOX SERBIEN K|STU|Germany
^NQCIZNTR|NASDAQ Commodity Zinc Index TR|NIM|USA
^NQASIA9000AUDN|NASDAQ Asia Tech AUD NTR Index|NIM|USA
^MDO|S&P; MID 400 OPEN/CLOSE AVG|NYS|USA
