Ticker|Name|Exchange|Country
ELU18-3.SI|EL future for September 2018, b|SES|Singapore
SSEFZ5.EX|SSEF DEC 15        |EUX|Germany
NKH18-C.SI|||
GVZ8.AX|Base Load Quarterly $300 Cap El|ASX|Australia
FCM1525-C.BO|||
NKK15-2.SI|NK future for May 2015, being t|SES|Singapore
XN1530-C.BO|||
IBD5.AX|30 Day Interbank Cash Rate Futu|ASX|Australia
UBSHU5.EX|UBSH SEP 15        |EUX|Germany
NKM16-C.SI|||
ESSFF6.EX|ESSF JAN 16        |EUX|Germany
R2:PCAR3T.SA|P.ACUCAR-CBDON      N1|SAO|Brazil
WKK6.AX|WA Wheat May 2016 (day)|ASX|Australia
R2OGZ9.EX|R2OG DEC 19        |EUX|Germany
PLX1526-C.BO|||
PCU1524-C.BO|||
ELJ1530-C.BO|||
HVZ8.AX|Base Load Electricity Strip Vic|ASX|Australia
LPFG16-C.SI|||
FSMIM6.EX|FSMI JUN 16        |EUX|Germany
GVM5.AX|Base Load Quarterly $300 Cap El|ASX|Australia
HSI9.AX|Base Load Electricity Strip Sou|ASX|Australia
NGF1628-C.BO|||
FWG1625-C.BO|||
TKAGZ5.EX|TKAG DEC 15        |EUX|Germany
FVSZ5.EX|FVS DEC 15         |EUX|Germany
PU4FH6.EX|PU4F MAR 16        |EUX|Germany
S3APZ6.EX|S3AP DEC 16/N      |EUX|Germany
FTI6U.AS|FTI SEP 16         |AMS|Netherlands
VWSN6.AX|NSW Wheat July 2016 (24 hr)|ASX|Australia
LPFV15-C.SI|||
JBU15-3.SI|JB future for September 2015, b|SES|Singapore
OMX1526-C.BO|||
NPZ1531-C.BO|||
R2:CAMB4T.SA|CAMBUCI     PN|SAO|Brazil
ASIFZ5.EX|ASIF DEC 15        |EUX|Germany
STAGH5.EX|STAG MAR 15        |EUX|Germany
M58FF17-2.SI|M58F future for January 2017, b|SES|Singapore
EQT5.AX|Base Load Calender Month Electr|ASX|Australia
GSH5.AX|Base Load Quarterly $300 Cap El|ASX|Australia
EDM24-3.SI|ED future for June 2024, being |SES|Singapore
T58FG17-3.SI|T58F future for February 2017, |SES|Singapore
GVC5.AX|Base Load Quarterly $300 Cap El|ASX|Australia
DSZ7.AX|Peak Load Electricity Strips So|ASX|Australia
SGPX15-2.SI|SGP future for November 2015, b|SES|Singapore
R2:LFFE4T.SA|LA FONTE TELPN|SAO|Brazil
OCG1625-C.BO|||
S2NWZ8.EX|S2NW DEC 18        |EUX|Germany
UBSX6.AX|Eastern Australian Feed Barley |ASX|Australia
GIVGG6.EX|GIVG FEB 16        |EUX|Germany
EYDAP16C.AT|EYDAP MAR 16       |ATH|Greece
SM1518-C.BO|||
VTSGH6.EX|VTSG MAR 16        |EUX|Germany
G6A.MDD|GENERA JAN 16      |MDD|
NKF16-C.SI|||
BNM8.AX|Base Load Electricity Futures N|ASX|Australia
AAC5.AX|S&P;/ASX 200 A-REIT Index Future|ASX|Australia
DISFU5.EX|DISF SEP 15        |EUX|Germany
FUGGZ5.EX|FUGG DEC 15        |EUX|Germany
PECFG15-3.SI|PECF future for February 2015, |SES|Singapore
RCLFH6.EX|RCLF MAR 16        |EUX|Germany
THH16-C.SI|||
BMWFU5.EX|BMWF SEP 15        |EUX|Germany
RPLFH5.EX|RPLF MAR 15        |EUX|Germany
EQB6.AX|Base Load Calender Month Electr|ASX|Australia
FYN1530-C.BO|||
BSH6.AX|Base Load Electricity Futures S|ASX|Australia
TWN15-C.SI|||
OBOSX5H.OL|OBXOIL AUG 15      |OSL|Norway
J2NJZ6.EX|J2NJ DEC 16/N      |EUX|Germany
CMH1526-C.BO|||
EDZ25-C.SI|||
EYU17-2.SI|EY future for September 2017, b|SES|Singapore
IRT8.AX|90-Day Bank Accepted Bills Dece|ASX|Australia
T3NEZ5.EX|T3NE DEC 15        |EUX|Germany
EVV5.AX|Base Load Calender Month Electr|ASX|Australia
FSTHZ5.EX|FSTH DEC 15        |EUX|Germany
2FT5U.AS|2FT SEP 15         |AMS|Netherlands
