Ticker|Name|Exchange|Country
PIPIX|Principal Inflation Protection Inst|NAS|USA
30318749.IR|HSBC ST LI GBP-G-|ISE|UK
K55308B54928.KS|PineAsia Challenge 20 Bond Balanced 2|KSC|Korea
WZFW.SG|FVS EQ OPP RD|STU|Germany
GB00BY4K7022.L|Old Mutual Voyager Intl Cnsvtv A GBP Acc|LSE|UK
MFGFX|MassMutual Select Fundamental Growth R4|NAS|USA
IQCVAX|ADT 1611 Income Quality Covered|NAS|USA
119395.BO|BOI AXA Regular Return Dir Qt Div|BSE|India
101867.BO|LIC Nomura MF MIP Qt Div|BSE|India
GB0007447286.L|Henderson UK Smlr Coms A|LSE|UK
MONEXM+A.MX|FONDO MONEX C-A|MEX|Mexico
23092000.SW|ED R QUAM 15 A|EBS|Austria
GB00B1YXF283.L|JPM Natural Res B Inc|LSE|UK
RBEMX|American Funds 2055 Trgt Date Retire R2E|NAS|USA
LROCX|Legg Mason BW Absolute Return Opp C1|NAS|USA
KR5345727717.KS|Hana New Leader Kyrgyzstan PF REITs 14|KSC|Korea
XQ13.MU|FR TI JAP AC|MUN|Germany
1359108.SW|CS CH EU QU EQ|EBS|Austria
GB0007220360.L|Schroder UK Dynamic Smaller Coms Z Acc|LSE|UK
FGRCX|Fidelity Advisor Mega Cap Stock C|NAS|USA
SPINX|SEI S&P; 500 Index A (SIIT)|NAS|USA
OBSOX|Oberweis Small-Cap Opportunities|NAS|USA
K55311AZ7990.KS|PLUS HK US IdxLnk NoKnockIn PF ELS-Drv 2|KSC|Korea
WASBX|Ivy Asset Strategy B|NAS|USA
PGEIX|Putnam Global Energy Y|NAS|USA
BTEFX|Boston Trust Equity|NAS|USA
UTIMTDIRFLEX.BO|UTI M/T Dir Flexi Div|BSE|India
BMOAMRDEREVM.TO|BMO US Dollar Mthly Inc Adv Ser|TOR|Canada
131453.BO|ICICI Pru Balanced Dir HY Div|BSE|India
CWIAX|American Funds Capital World Gr&Inc; 529A|NAS|USA
F00000MG0V.BO|Bajaj Allz Life-Group BlueChip|BSE|India
VEUAX|JPMorgan Intrepid European A|NAS|USA
MRVIX|BMO Mid-Cap Value I|NAS|USA
TSDIX|Touchstone Ultra Short Dur F/I Instl|NAS|USA
MALLX|Mutual of America Instl All America|NAS|USA
DGGRX|Delaware Focus Global Growth R|NAS|USA
FSCIX|Fidelity Advisor Small Cap I|NAS|USA
CPPBX|American Funds Preservation Port 529B|NAS|USA
OM-DCPE.MX|OLD MUTUAL-E|MEX|Mexico
KR5107A44030.KS|TongYang KIS LS Magic PF Equity Bal 3|KSC|Korea
F0CAN05MWV.TO|National Bank US Equity Fund|TOR|Canada
KR5210AS2218.KS|SHBNPP ESS PF Special Asset Loan-FoF 1|KSC|Korea
GB00B4K9J524.L|Newton Idx Linked Gilt X Net GBP Inc|LSE|UK
LINJX|Lord Abbett New Jersey Tax-Free I|NAS|USA
IE00B3FHNC91.IR|Legg Mason Opportunity X Acc £|ISE|UK
KR5212A27769.KS|Macquarie IPO Special PF Equity Bal 1|KSC|Korea
MIISX|BNY Mellon Income Stock Inv|NAS|USA
GB00B05K6392.L|Old Mutual Bond 3 A GBP Inc|LSE|UK
KR5236A93075.KS|KIVAM 10 Year Balance Equity 1 C|KSC|Korea
4538337.IR|BNY GLB EQT USD -M-|ISE|UK
KR5203AL3402.KS|Daishin US Bond Linked PF Bond 2|KSC|Korea
SMGCX|Sentinel Mid Cap C|NAS|USA
GB0008350869.L|JPM Global High Yield Bd A Net Inc|LSE|UK
LMBBX|Legg Mason BW Dynamic Large Cap Val C|NAS|USA
JXBIX|JPMorgan Access Balanced Fund -|NAS|USA
KR5237AG5263.KS|JPMorgan MltInc Asst Bldg Fdr Eq Bal-FoF|KSC|Korea
NTE+INI.MX|NORTEIN-I|MEX|Mexico
FZADX|Fidelity Advisor Dividend Growth Z|NAS|USA
GB00BTKHG619.L|Standard Life Wealth Falcon Z Inc|LSE|UK
EUROX|US Global Investors Emerging Europe|NAS|USA
EKBDX|Wells Fargo Diversified Cap Bldr Adm|NAS|USA
F00000QC6R.TO|Allegro Moderate Conservative Port J DSC|TOR|Canada
WSHCX|American Funds Washington Mutual C|NAS|USA
XFDIX|Fort Dearborn Income Securities|NAS|USA
IE00B00P2J79.IR|Loomis Sayles Multisect Inc Fd R/D USD|ISE|UK
IE00BZ08YY02.IR|Guinness Best of China Z GBP Acc|ISE|UK
MDPCX|BlackRock Pacific Inv A|NAS|USA
UEU5.DU|VONTOBEL NEW PO BC|DUS|Germany
ACDJX|American Century Discp Growth Plus Inv|NAS|USA
VWNAX|Vanguard Windsor II Admiral|NAS|USA
DINACAPITALX.BC|Dina Capital XXI SICAV|BAR|
F00000NP7V.TO|RBC Target 2025 Education Sr D|TOR|Canada
IE0002642480.IR|Vanguard US Ultra Sht T Bd Inv USD|ISE|UK
IZSRX|Invesco Select Opportunities R|NAS|USA
UFM0.MU|UBS(LU)EF-SMC JAP P|MUN|Germany
RYATX|Rydex NASDAQ-100 A|NAS|USA
XQ11.HM|FR TI GL BD AD|HAM|Germany
IXETRBF3.MX|IXE IXEMIL-BF3|MEX|Mexico
100783.BO|Sundaram Flexible S/T Reg Wk Div|BSE|India
WGVBX|Waddell & Reed Government Secs B|NAS|USA
WJF9.BE|EF FOOD & P PROD C|BER|Germany
LZHYX|Lazard US Corporate Income Instl|NAS|USA
IE00BKRVJT70.IR|Calamos Global Equity Z EUR Acc|ISE|UK
HSBCMPFACHIN.HK|HSBC MPF A Chinese Equity W|HKG|Hong Kong
KMKAX|Kinetics Market Opportunities Adv A|NAS|USA
GSYRX|Goldman Sachs N-11 Equity IR|NAS|USA
IE0002460081.IR|PIMCO GIS US High Yld Bd Inst Inc|ISE|UK
F00000QDOI.TO|Dynamic Alternative Yield Class Series E|TOR|Canada
NHIAX|Neuberger Berman High Income Bond A|NAS|USA
QUADRUSCATMA.TO|Quadrus Mackenzie Strategic Income Ser Q|TOR|Canada
FZITX|Fidelity Advisor Int Muni Inc T|NAS|USA
29134606.IR|GLAZER EN 06/15/EUR|ISE|UK
STCSX|Wells Fargo Advantage Common Stock Inv|NAS|USA
F00000VMRQ.TO|CI G5 20i 2035 Q1 Cl A|TOR|Canada
RNGCX|American Funds New Economy R3|NAS|USA
MRBGX|MFS Total Return Bond R1|NAS|USA
JAFLX|Janus Aspen Flexible Bond Instl|NAS|USA
JRVOX|JHancock Retirement Choices at 2045 1|NAS|USA
KR5209AK6921.KS|Shinyoung High Dividend Feeder Equity I|KSC|Korea
HEAU.TO|Horizons Enh Inc US Equity USD ETF Comm|TOR|Canada
KR5105675221.KS|Samsung Global Water Master Equity|KSC|Korea
IGWATX|Global Water Portfolio 2015-3 (|NAS|USA
JENRX|Jensen Quality Growth R|NAS|USA
DCALX|Dunham Alternative Income C|NAS|USA
UEUJ.MU|VON EUR CRBD MY AD|MUN|Germany
20422619.IR|GLG GLO IN USD-D-AC|ISE|UK
22252022.IR|PAULS B/B/08/13/H1|ISE|UK
PHSDX|PIMCO High Yield Spectrum D|NAS|USA
ARDOX|American Century One Choice 2045 R6|NAS|USA
134642.BO|SBI Equity Saving Reg Qtrly Div|BSE|India
