Ticker|Name|Exchange|V4
JODAMD=X|JOD/AMD|CCY|NA
EUR-LRD.F|EUR/LRD|FRA|NA
EURDKKFIX=X|EUR/DKK FIXING|CCY|NA
29134349=X|NOK/CLP|CCY|NA
CHFAMD=X|CHF/AMD|CCY|NA
BGNCHF=X|BGN/CHF|CCY|NA
JOD=X|USD/JOD|CCY|NA
LVLNOK=X|LVL/NOK|CCY|NA
DOPCHF=X|DOP/CHF|CCY|NA
MYRCNY=X|MYR/CNY|CCY|NA
PABEUR=X|PAB/EUR|CCY|NA
CADMZN=X|CAD/MZN|CCY|NA
AUDARS=X|AUD/ARS|CCY|NA
PABCHF=X|PAB/CHF|CCY|NA
GBPJOD=X|GBP/JOD|CCY|NA
DKKBAM=X|DKK/BAM|CCY|NA
NOKGBP=X|NOK/GBP|CCY|NA
MYRPKR=X|MYR/PKR|CCY|NA
FRF=X|USD/FRF|CCY|NA
EURTJS=X|EUR/TJS|CCY|NA
GBPNOK=X|GBP/NOK|CCY|NA
ISKGBP=X|ISK/GBP|CCY|NA
GBPETB=X|GBP/ETB|CCY|NA
XF000EURINR2.SG|EUR/INR FIXING|STU|NA
KWDCAD=X|KWD/CAD|CCY|NA
LVLTWD=X|LVL/TWD|CCY|NA
AWGUSD=X|AWG/USD|CCY|NA
GHSSAR=X|GHS/SAR|CCY|NA
PLNEUR=X|PLN/EUR|CCY|NA
CHDAV.SW|DAVON GEHAND|EBS|NA
BRLHKD=X|BRL/HKD|CCY|NA
CHKOT.SW|KOT.AKTIEN|EBS|NA
OCEF.EX|EUR/CHF|EUX|NA
VNDJPY=X|VND/JPY|CCY|NA
GHSXDR=X|GHS/XDR|CCY|NA
CADSAR=X|CAD/SAR|CCY|NA
EGPTHB=X|EGP/THB|CCY|NA
AUDJPY=X|AUD/JPY|CCY|NA
BRLGBP=X|BRL/GBP|CCY|NA
CADMAD=X|CAD/MAD|CCY|NA
XF000EURCLP3.SG|EUR/CLP|STU|NA
CZKBGN=X|CZK/BGN|CCY|NA
NZDRUB=X|NZD/RUB|CCY|NA
JPYSZL=X|JPY/SZL|CCY|NA
ISKUSD=X|ISK/USD|CCY|NA
HRKEUR=X|HRK/EUR|CCY|NA
NZDCAD=X|NZD/CAD|CCY|NA
JODTND=X|JOD/TND|CCY|NA
GHSMAD=X|GHS/MAD|CCY|NA
XF000EURDKK4.SG|EUR/DKK FIXING|STU|NA
19752596.SW|GOLD 999.9/1000    |EBS|NA
BWPMXN=X|BWP/MXN|CCY|NA
THBBRL=X|THB/BRL|CCY|NA
LVLAUD=X|LVL/AUD|CCY|NA
NZDJPY=X|NZD/JPY|CCY|NA
ZARSZL=X|ZAR/SZL|CCY|NA
KESCHF=X|KES/CHF|CCY|NA
CADCVE=X|CAD/CVE|CCY|NA
PLNTRY=X|PLN/TRY|CCY|NA
KRWJPY=X|KRW/JPY|CCY|NA
NOKPHP=X|NOK/PHP|CCY|NA
CHFFKP=X|CHF/FKP|CCY|NA
GBPAMD=X|GBP/AMD|CCY|NA
LKR=X|USD/LKR|CCY|NA
AZN=X|USD/AZN|CCY|NA
PENVEF=X|PEN/VEF|CCY|NA
MADQAR=X|MAD/QAR|CCY|NA
THBCHF=X|THB/CHF|CCY|NA
NZDTRY=X|NZD/TRY|CCY|NA
XF000EURCAD2.SG|EUR/CAD FIXING|STU|NA
SGDMYR=X|SGD/MYR|CCY|NA
PKREGP=X|PKR/EGP|CCY|NA
PLNVUV=X|PLN/VUV|CCY|NA
EGPMUR=X|EGP/MUR|CCY|NA
EUR-LAK.F|EUR/LAK|FRA|NA
CUPGBP=X|CUP/GBP|CCY|NA
EURSZL=X|EUR/SZL|CCY|NA
HUFTRY=X|HUF/TRY|CCY|NA
ZARCZK=X|ZAR/CZK|CCY|NA
TNDMXN=X|TND/MXN|CCY|NA
PLNLTL=X|PLN/LTL|CCY|NA
NZDAUD=X|NZD/AUD|CCY|NA
ANGCHF=X|ANG/CHF|CCY|NA
GBPPKR=X|GBP/PKR|CCY|NA
ARSKRW=X|ARS/KRW|CCY|NA
MURDKK=X|MUR/DKK|CCY|NA
KGS=X|USD/KGS|CCY|NA
